,Response
163,"In 2019, Bosnia and Herzegovina's Economic Complexity Index (ECI) ranked 38.0, with an ECI value of 0.5786427. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
164,"In 2019, Belarus's Economic Complexity Index (ECI) ranked 34.0, with an ECI value of 0.7847071. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
165,"In 2019, Bolivia's Economic Complexity Index (ECI) ranked 100.0, with an ECI value of -0.8739496. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
166,"In 2019, Brazil's Economic Complexity Index (ECI) ranked 47.0, with an ECI value of 0.4190777. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
167,"In 2019, Botswana's Economic Complexity Index (ECI) ranked 77.0, with an ECI value of -0.3649561. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
168,"In 2019, Canada's Economic Complexity Index (ECI) ranked 29.0, with an ECI value of 0.9538509. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
169,"In 2019, Switzerland's Economic Complexity Index (ECI) ranked 2.0, with an ECI value of 1.980604. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
170,"In 2019, Chile's Economic Complexity Index (ECI) ranked 69.0, with an ECI value of -0.1555506. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
171,"In 2019, China's Economic Complexity Index (ECI) ranked 28.0, with an ECI value of 0.9653615. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
172,"In 2019, Cote d'Ivoire's Economic Complexity Index (ECI) ranked 108.0, with an ECI value of -1.051854. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
173,"In 2019, Cameroon's Economic Complexity Index (ECI) ranked 115.0, with an ECI value of -1.167192. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
174,"In 2019, Congo, Dem. Rep.'s Economic Complexity Index (ECI) ranked 123.0, with an ECI value of -1.386408. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
175,"In 2019, Congo, Rep.'s Economic Complexity Index (ECI) ranked 99.0, with an ECI value of -0.8587186. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
176,"In 2019, Colombia's Economic Complexity Index (ECI) ranked 52.0, with an ECI value of 0.1625875. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
177,"In 2019, Costa Rica's Economic Complexity Index (ECI) ranked 50.0, with an ECI value of 0.2546245. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
178,"In 2019, Cuba's Economic Complexity Index (ECI) ranked 102.0, with an ECI value of -0.6458745. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
179,"In 2019, Cyprus's Economic Complexity Index (ECI) ranked 46.0, with an ECI value of 0.5780991. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
180,"In 2019, Czech Republic's Economic Complexity Index (ECI) ranked 8.0, with an ECI value of 1.624045. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
181,"In 2019, Germany's Economic Complexity Index (ECI) ranked 4.0, with an ECI value of 1.900436. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
182,"In 2019, Denmark's Economic Complexity Index (ECI) ranked 24.0, with an ECI value of 1.068007. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
183,"In 2019, Dominican Republic's Economic Complexity Index (ECI) ranked 68.0, with an ECI value of -0.136402. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
184,"In 2019, Algeria's Economic Complexity Index (ECI) ranked 111.0, with an ECI value of -1.098026. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
185,"In 2019, Ecuador's Economic Complexity Index (ECI) ranked 103.0, with an ECI value of -0.9116535. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
186,"In 2019, Egypt, Arab Rep.'s Economic Complexity Index (ECI) ranked 67.0, with an ECI value of -0.1349052. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
187,"In 2019, Spain's Economic Complexity Index (ECI) ranked 33.0, with an ECI value of 0.8246503. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
188,"In 2019, Estonia's Economic Complexity Index (ECI) ranked 30.0, with an ECI value of 0.9979247. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
189,"In 2019, Ethiopia's Economic Complexity Index (ECI) ranked 97.0, with an ECI value of -0.7865856. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
190,"In 2019, Finland's Economic Complexity Index (ECI) ranked 12.0, with an ECI value of 1.505391. The ECI measures the complexity of a country's export basket and is a significant indicator of economic health and potential growth."
